year,serial,pernum,asec_flag,weight,state_fips,age,sex,nativity,empstat,educ,hrs_work,earn_week,immigrant,employed,female,educ_cat,state_abb,state_name,ln_earn,earn_extreme
2000,1106,1,1,768.13,33,33,1,1,10,81,40,743,0,1,0,some_college,NH,New Hampshire,6.610696044717759,0
2000,1106,2,1,768.13,33,28,2,1,10,123,35,673,0,1,1,college_plus,NH,New Hampshire,6.511745329644728,0
2000,1123,1,1,768.13,33,29,1,1,10,81,40,460,0,1,0,some_college,NH,New Hampshire,6.131226489483141,0
2000,1124,2,1,761.36,33,63,2,1,10,40,9,96,0,1,1,less_hs,NH,New Hampshire,4.564348191467836,0
2000,1126,1,1,731.27,33,47,2,1,10,73,40,470,0,1,1,hs,NH,New Hampshire,6.152732694704104,0
2000,1126,2,1,731.27,33,47,1,1,10,81,55,1100,0,1,0,some_college,NH,New Hampshire,7.003065458786462,0
2000,1127,1,1,768.13,33,37,1,1,10,111,40,600,0,1,0,college_plus,NH,New Hampshire,6.396929655216146,0
2000,1127,3,1,768.13,33,29,2,1,10,111,40,769,0,1,1,college_plus,NH,New Hampshire,6.645090969505644,0
2000,1130,1,1,632.03,33,56,1,1,10,73,35,519,0,1,0,hs,NH,New Hampshire,6.251903883165888,0
2000,1140,1,1,723.31,33,33,2,1,10,73,40,865,0,1,1,hs,NH,New Hampshire,6.762729506931879,0
2000,1149,1,1,821.86,33,40,2,1,10,81,40,500,0,1,1,some_college,NH,New Hampshire,6.214608098422191,0
2000,1149,2,1,821.86,33,44,1,1,10,91,45,575,0,1,0,some_college,NH,New Hampshire,6.354370040797351,0
2000,1152,1,1,384.06,33,30,1,1,10,92,40,743,0,1,0,some_college,NH,New Hampshire,6.610696044717759,0
2000,1152,2,1,384.06,33,29,2,1,10,81,40,615,0,1,1,some_college,NH,New Hampshire,6.421622267806518,0
2000,1153,1,1,1072.93,33,36,1,1,10,73,40,1480,0,1,0,hs,NH,New Hampshire,7.299797366758161,0
2000,1153,2,1,1072.93,33,37,2,1,10,81,43,735,0,1,1,some_college,NH,New Hampshire,6.5998704992128365,0
2000,1164,3,1,1122.69,33,31,2,1,10,92,35,442,0,1,1,some_college,NH,New Hampshire,6.091309882077698,0
2000,1165,1,1,655.82,33,56,2,5,10,92,40,1026,1,1,1,some_college,NH,New Hampshire,6.933423025730715,0
2000,1169,1,1,1013.57,33,59,1,1,10,81,55,942,0,1,0,some_college,NH,New Hampshire,6.848005274576363,0
2000,1169,2,1,1013.57,33,57,2,1,10,81,40,769,0,1,1,some_college,NH,New Hampshire,6.645090969505644,0
2000,1172,1,1,972.3,33,51,1,1,10,92,60,1231,0,1,0,some_college,NH,New Hampshire,7.115582126184454,0
2000,1172,2,1,972.3,33,50,2,1,10,92,40,575,0,1,1,some_college,NH,New Hampshire,6.354370040797351,0
2000,1209,1,1,1057.49,33,38,2,1,10,91,37,327,0,1,1,some_college,NH,New Hampshire,5.7899601708972535,0
2000,1224,1,1,734.34,33,47,1,4,10,123,38,973,1,1,0,college_plus,NH,New Hampshire,6.880384082186005,0
2000,1225,1,1,730.81,33,60,2,3,10,73,40,372,0,1,1,hs,NH,New Hampshire,5.918893854273146,0
2000,1228,1,1,730.35,33,37,2,1,10,81,37,315,0,1,1,some_college,NH,New Hampshire,5.752572638825633,0
2000,1236,3,1,899.09,33,33,1,1,10,73,40,460,0,1,0,hs,NH,New Hampshire,6.131226489483141,0
2000,1239,1,1,1035.76,33,43,1,1,10,73,NA,298,0,1,0,hs,NH,New Hampshire,5.697093486505405,0
2000,1239,2,1,1035.76,33,45,2,1,10,92,32,704,0,1,1,some_college,NH,New Hampshire,6.556778356158042,0
2000,1273,1,1,730.35,33,43,1,1,10,50,40,500,0,1,0,less_hs,NH,New Hampshire,6.214608098422191,0
2000,1273,2,1,730.35,33,36,2,1,10,71,37,200,0,1,1,hs,NH,New Hampshire,5.298317366548036,0
2000,1274,1,1,720.74,33,50,1,4,10,111,34,690,1,1,0,college_plus,NH,New Hampshire,6.536691597591305,0
2000,1275,2,1,730.35,33,37,2,5,10,81,10,58,1,1,1,some_college,NH,New Hampshire,4.060443010546419,0
2000,1276,1,1,816.99,33,44,1,1,10,73,40,559,0,1,0,hs,NH,New Hampshire,6.326149473155099,0
2000,1281,1,1,680.47,33,54,2,1,10,91,40,161,0,1,1,some_college,NH,New Hampshire,5.081404364984463,0
2000,1281,2,1,680.47,33,56,1,4,10,73,40,865,1,1,0,hs,NH,New Hampshire,6.762729506931879,0
2000,1283,2,1,705.87,33,47,2,2,10,111,45,538,0,1,1,college_plus,NH,New Hampshire,6.2878585601617845,0
2000,1307,2,1,793.31,33,44,1,1,10,73,40,680,0,1,0,hs,NH,New Hampshire,6.522092798170152,0
2000,1339,1,1,821.86,33,47,1,1,10,73,40,313,0,1,0,hs,NH,New Hampshire,5.746203190540153,0
2000,1339,2,1,821.86,33,40,2,1,10,73,40,430,0,1,1,hs,NH,New Hampshire,6.063785208687608,0
2000,1349,1,1,741.02,33,32,1,1,10,50,45,270,0,1,0,less_hs,NH,New Hampshire,5.598421958998375,0
2000,1356,1,1,1080.07,33,59,1,1,10,73,40,288,0,1,0,hs,NH,New Hampshire,5.662960480135946,0
2000,1357,1,1,461.06,33,27,2,2,10,111,44,635,0,1,1,college_plus,NH,New Hampshire,6.453624998892692,0
2000,1390,1,1,1057.59,33,32,1,1,10,124,60,764,0,1,0,college_plus,NH,New Hampshire,6.638567789166521,0
2000,1405,1,1,730.35,33,42,1,1,10,111,50,2211,0,1,0,college_plus,NH,New Hampshire,7.701200180857446,0
2000,1405,2,1,730.35,33,35,2,5,12,73,60,552,1,1,1,hs,NH,New Hampshire,6.313548046277095,0
2000,1407,2,1,793.31,33,41,2,1,10,81,NA,150,0,1,1,some_college,NH,New Hampshire,5.0106352940962555,0
2000,1408,1,1,694.81,33,51,2,1,10,91,42,963,0,1,1,some_college,NH,New Hampshire,6.870053411798126,0
2000,1408,2,1,694.81,33,48,1,1,10,81,38,564,0,1,0,some_college,NH,New Hampshire,6.335054251498059,0
2000,1414,1,1,1066.87,33,39,1,1,10,111,50,923,0,1,0,college_plus,NH,New Hampshire,6.827629234502852,0
2000,1414,2,1,1066.87,33,44,2,1,10,111,30,343,0,1,1,college_plus,NH,New Hampshire,5.8377304471659395,0
2000,1415,1,1,1106.53,33,31,1,1,10,73,40,665,0,1,0,hs,NH,New Hampshire,6.499787040655854,0
2000,1415,2,1,1106.53,33,34,2,1,10,111,36,654,0,1,1,college_plus,NH,New Hampshire,6.483107351457199,0
2000,1421,3,1,698.18,33,32,1,1,12,111,40,452,0,1,0,college_plus,NH,New Hampshire,6.113682179832232,0
2000,1424,1,1,793.31,33,45,1,1,10,91,40,680,0,1,0,some_college,NH,New Hampshire,6.522092798170152,0
